company_id,year,sales,operating_profit,net_profit,other_income,interest,equity,borrowings,total_assets,investments,net_profit_margin,operating_profit_margin,roe_percentage,roa_percentage,debt_to_equity,roce_percentage,interest_coverage_ratio,net_debt,asset_turnover
ADANIGREEN,Mar 2024,9220,7318.0,1260,1262,5006,1584.0,64858,88086,1515,13.67,79.37,79.55,1.43,40.95,11.01,1.71,63343,0.1
ADANIPORTS,Mar 2024,26711,15589.0,8104,671,2733,432.0,49470,116999,4289,30.34,58.36,1875.93,6.93,114.51,31.24,5.95,45181,0.23
ADANIPORTS,Mar 2024,26711,15589.0,8104,671,2733,432.0,49470,116999,4289,30.34,58.36,1875.93,6.93,114.51,31.24,5.95,45181,0.23
ADANIPOWER,Mar 2024,50351,18228.0,20829,9883,3388,3857.0,34616,92009,374,41.37,36.2,540.03,22.64,8.97,47.38,8.3,34242,0.55
AMBUJACEM,Mar 2024,33160,6400.0,4738,1401,276,440.0,699,65261,849,14.29,19.3,1076.82,7.26,1.59,561.9,28.26,-150,0.51
APOLLOHOSP,Mar 2024,19059,2394.0,935,105,449,72.0,5333,16742,986,4.91,12.56,1298.61,5.58,74.07,44.29,5.57,4347,1.14
ASIANPAINT,Mar 2024,35495,7585.0,5558,821,205,96.0,2474,29901,4588,15.66,21.37,5789.58,18.59,25.77,295.14,41.0,-2114,1.19
ASIANPAINT,Mar 2024,35495,7585.0,5558,821,205,96.0,2474,29901,4588,15.66,21.37,5789.58,18.59,25.77,295.14,41.0,-2114,1.19
ATGL,Mar 2024,4475,1104.0,668,62,111,110.0,1557,6592,706,14.93,24.67,607.27,10.13,14.15,66.23,10.5,851,0.68
AXISBANK,Mar 2024,109369,37943.0,24861,11,22442,617.0,1295302,1518239,332354,22.73,34.69,4029.34,1.64,2099.35,2.93,1.69,962948,0.07
BAJAJ-AUTO,Mar 2024,44870,8765.0,7708,1700,60,279.0,1912,39344,28087,17.18,19.53,2762.72,19.59,6.85,400.05,174.42,-26175,1.14
BAJAJFINSV,Mar 2024,110382,40886.0,15595,-4,18607,159.0,288933,537415,168385,14.13,37.04,9808.18,2.9,1817.19,14.14,2.2,120548,0.21
BAJAJHLDNG,Mar 2024,1702,1562.0,7365,5967,2,111.0,63,65161,64715,432.73,91.77,6635.14,11.3,0.57,897.7,3764.5,-64652,0.03
BAJFINANCE,Mar 2024,54972,16099.0,14451,36,6,124.0,293346,375742,30881,26.29,29.29,11654.03,3.85,2365.69,5.49,2689.17,262465,0.15
BANKBARODA,Mar 2024,118379,44379.0,18869,3,23399,1036.0,1453761,1654775,407136,15.94,37.49,1821.33,1.14,1403.24,3.05,1.9,1046625,0.07
BEL,Mar 2024,20268,5051.0,3985,670,12,11.0,43,161,1,19.66,24.92,36227.27,2475.16,3.91,9353.7,476.75,42,125.89
BHARTIARTL,Mar 2024,149982,78292.0,8558,-3428,22648,2877.0,215592,442019,31602,5.71,52.2,297.46,1.94,74.94,35.84,3.31,183990,0.34
BHEL,Mar 2024,23893,711.0,282,608,828,696.0,8856,59788,256,1.18,2.98,40.52,0.47,12.72,7.44,1.59,8600,0.4
BOSCHLTD,Mar 2024,16727,2095.0,2490,1566,51,30.0,39,17355,5125,14.89,12.52,8300.0,14.35,1.3,3036.23,71.78,-5086,0.96
BPCL,Mar 2024,448083,44082.0,26859,3032,4149,2136.0,54599,202418,26631,5.99,9.84,1257.44,13.27,25.56,77.7,11.36,27968,2.21
BRITANNIA,Mar 2024,16769,3167.0,2134,211,164,24.0,2065,9072,2767,12.73,18.89,8891.67,23.52,86.04,151.6,20.6,-702,1.85
CANBK,Mar 2024,110519,46146.0,15401,-7,28646,1814.0,1369780,1535018,399207,13.94,41.75,849.01,1.0,755.12,3.36,1.61,970573,0.07
CHOLAFIN,Mar 2024,19163,5385.0,3420,24,255,168.0,134475,156686,4036,17.85,28.1,2035.71,2.18,800.45,4.0,21.21,130439,0.12
CIPLA,Mar 2024,25774,19483.0,4154,24,552,161.0,559,32533,5449,16.12,75.59,2580.12,12.77,3.47,2705.97,35.34,-4890,0.79
COALINDIA,Mar 2024,142324,94352.0,37369,34,8396,6163.0,6523,236470,7110,26.26,66.29,606.34,15.8,1.06,743.75,11.24,-587,0.6
DABUR,Mar 2024,12404,2400.0,1811,482,124,177.0,1365,15116,6933,14.6,19.35,1023.16,11.98,7.71,155.64,23.24,-5568,0.82
DIVISLAB,Mar 2024,7845,2210.0,1600,335,4,53.0,3,15460,82,20.4,28.17,3018.87,10.35,0.06,3946.43,636.25,-79,0.51
DLF,Mar 2024,6427,2124.0,2724,531,356,495.0,4834,59069,20138,42.38,33.05,550.3,4.61,9.77,39.86,7.46,-15304,0.11
DMART,Mar 2024,50789,4106.0,2536,145,58,651.0,592,21172,107,4.99,8.08,389.55,11.98,0.91,330.33,73.29,485,2.4
DRREDDY,Mar 2024,28011,7933.0,5578,909,171,83.0,2002,38780,4930,19.91,28.32,6720.48,14.38,24.12,380.48,51.71,-2928,0.72
EICHERMOT,Mar 2024,16536,4329.0,4001,1521,51,27.0,419,23115,13527,24.2,26.18,14818.52,17.31,15.52,970.63,114.71,-13108,0.72
GAIL,Mar 2024,133228,14314.0,9903,2672,719,6575.0,21794,124735,21910,7.43,10.74,150.62,7.94,3.31,50.46,23.62,-116,1.07
GODREJCP,Mar 2024,14096,2957.0,-561,-2209,310,102.0,3222,18392,3504,-3.98,20.98,-550.0,-3.05,31.59,88.96,2.41,-282,0.77
GRASIM,Mar 2024,130978,27195.0,9926,783,9277,133.0,137155,412116,129306,7.58,20.76,7463.16,2.41,1031.24,19.81,3.02,7849,0.32
HAL,Mar 2024,30381,9749.0,7595,1899,43,5.0,123,450,43,25.0,32.09,151900.0,1687.78,24.6,7616.41,270.88,80,67.51
HAVELLS,Mar 2024,18590,1881.0,1271,249,84,63.0,303,12433,20,6.84,10.12,2017.46,10.22,4.81,513.93,25.36,283,1.5
HCLTECH,Mar 2024,109913,24198.0,15710,1495,553,543.0,5758,99006,7137,14.29,22.02,2893.19,15.87,10.6,384.03,46.46,-1379,1.11
HDFCBANK,Mar 2024,283649,174196.0,65446,-16,124346,760.0,3107503,4030194,1005682,23.07,61.41,8611.32,1.62,4088.82,5.6,1.4,2101821,0.07
HDFCLIFE,Mar 2024,101482,100951.0,1574,1,525,2151.0,950,302687,291128,1.55,99.48,73.18,0.52,0.44,3255.43,192.29,-290178,0.34
HEROMOTOCO,Mar 2024,37789,32554.0,3742,14,689,40.0,606,26153,12751,9.9,86.15,9355.0,14.31,15.15,5039.32,47.27,-12145,1.44
HINDALCO,Mar 2024,215962,192090.0,10155,11,1519,222.0,56356,230723,15444,4.7,88.95,4574.32,4.4,253.86,339.51,126.47,40912,0.94
HINDUNILVR,Mar 2024,61896,47237.0,10282,24,817,235.0,1484,78489,4625,16.61,76.32,4375.32,13.1,6.31,2747.93,57.85,-3141,0.79
ICICIBANK,Mar 2024,159516,99560.0,46081,-9,76522,1405.0,1651008,2364063,827163,28.89,62.41,3279.79,1.95,1175.09,6.03,1.3,823845,0.07
ICICIGI,Mar 2024,20487,17910.0,1919,13,112,493.0,35,63308,48584,9.37,87.42,389.25,3.03,0.07,3392.05,160.03,-48549,0.32
ICICIPRULI,Mar 2024,90307,92136.0,851,-2,2970,1441.0,1200,299001,289728,0.94,102.03,59.06,0.28,0.83,3488.68,31.02,-288528,0.3
INDIGO,Mar 2024,68904,52573.0,8167,24,2326,48.0,17,1222,188,11.85,76.3,17014.58,668.33,0.35,80881.54,22.61,-171,56.39
INDUSINDBK,Mar 2024,45748,17638.0,8950,7,9388,778.0,432404,514935,106527,19.56,38.55,1150.39,1.74,555.79,4.07,1.88,325877,0.09
INFY,Mar 2024,153670,36425.0,26248,4711,470,2071.0,8359,136020,24623,17.08,23.7,1267.41,19.3,4.04,349.23,87.52,-16264,1.13
IOC,Mar 2024,776352,75646.0,43161,5389,7881,13772.0,132628,482683,65542,5.56,9.74,313.4,8.94,9.63,51.67,10.28,67086,1.61
IRCTC,Mar 2024,4270,1466.0,1111,106,19,160.0,60,6091,0,26.02,34.33,694.38,18.24,0.38,666.36,82.74,60,0.7
IRFC,Mar 2024,26645,26513.0,6412,10,20101,13069.0,412039,485082,54,24.06,99.5,49.06,1.32,31.53,6.24,1.32,411985,0.05
ITC,Mar 2024,70866,26233.0,20751,2804,80,1248.0,303,91754,31114,29.28,37.02,1662.74,22.62,0.24,1691.36,362.96,-30811,0.77
JINDALSTEL,Mar 2024,50354,10202.0,5943,156,1294,100.0,16472,78676,819,11.8,20.26,5943.0,7.55,164.72,61.56,8.0,15653,0.64
JIOFIN,Mar 2024,1855,1559.0,1605,429,10,6353.0,0,144863,133292,86.52,84.04,25.26,1.11,0.0,24.54,198.8,-133292,0.01
JSWENERGY,Mar 2024,11486,5382.0,1725,472,2053,1641.0,31573,57767,7035,15.02,46.86,105.12,2.99,19.24,16.2,2.85,24538,0.2
JSWSTEEL,Mar 2024,175006,28157.0,8973,1500,8105,305.0,87984,227898,7246,5.13,16.09,2941.97,3.94,288.47,31.89,3.66,80738,0.77
KOTAKBANK,Mar 2024,56237,47052.0,18213,-24,38037,994.0,520374,767667,246446,32.39,83.67,1832.29,2.37,523.52,9.02,1.24,273928,0.07
LICI,Mar 2024,845966,32779.0,40916,14829,128,6325.0,0,5316047,4976133,4.84,3.87,646.89,0.77,0.0,518.25,371.94,-4976133,0.16
LODHA,Mar 2024,10316,2665.0,1554,48,482,994.0,7698,47198,2500,15.06,25.83,156.34,3.29,7.74,30.66,5.63,5198,0.22
LT,Mar 2024,221113,29865.0,15547,3847,9512,30.0,2071,27544,8744,7.03,13.51,51823.33,56.44,69.03,1421.47,3.54,-6673,8.03
LTIM,Mar 2024,35517,6387.0,4585,702,222,30.0,2071,27544,8744,12.91,17.98,15283.33,16.65,69.03,304.0,31.93,-6673,1.29
M&M,Mar 2024,139078,24892.0,12270,3298,7488,557.0,108647,234722,35208,8.82,17.9,2202.87,5.23,195.06,22.79,3.76,73439,0.59
MARUTI,Mar 2024,141858,18626.0,13488,4248,194,157.0,119,115304,57296,9.51,13.13,8591.08,11.7,0.76,6748.55,117.91,-57177,1.23
MOTHERSON,Mar 2024,98692,9322.0,3020,140,1811,678.0,19922,84178,6521,3.06,9.45,445.43,3.59,29.38,45.25,5.22,13401,1.17
NAUKRI,Mar 2024,2536,711.0,595,303,35,129.0,246,36089,31203,23.46,28.04,461.24,1.65,1.91,189.6,28.97,-30957,0.07
NESTLEIND,Mar 2024,24394,5813.0,3933,159,145,96.0,345,10523,464,16.12,23.83,4096.88,37.38,3.59,1318.14,41.19,-119,2.32
NHPC,Mar 2024,9632,4807.0,4028,2029,608,10045.0,32561,93297,479,41.82,49.91,40.1,4.32,3.24,11.28,11.24,32082,0.1
NTPC,Mar 2024,178501,51456.0,21332,5190,12301,9697.0,237131,479278,15885,11.95,28.83,219.99,4.45,24.45,20.85,4.6,221246,0.37
ONGC,Mar 2024,591396,102835.0,57101,12982,10194,6290.0,153181,709774,102207,9.66,17.39,907.81,8.04,24.35,64.49,11.36,50974,0.83
PFC,Mar 2024,91508,33573.0,26461,69,57962,3300.0,861961,1038877,10971,28.92,36.69,801.85,2.55,261.2,3.88,0.58,850990,0.09
PIDILITIND,Mar 2024,12383,2708.0,1747,63,51,51.0,382,12076,2235,14.11,21.87,3425.49,14.47,7.49,625.4,54.33,-1853,1.03
PNB,Mar 2024,109065,,9157,14158,68534,260.0,55017,72371,4345,8.4,,3521.92,12.65,211.6,,,50672,1.51
PNB,Mar 2024,109065,,9157,14158,68534,260.0,55017,72371,4345,8.4,,3521.92,12.65,211.6,,,50672,1.51
PNB,Mar 2024,109065,,9157,14158,68534,260.0,55017,72371,4345,8.4,,3521.92,12.65,211.6,,,50672,1.51
PNB,Mar 2024,109065,,9157,14158,68534,260.0,55017,72371,4345,8.4,,3521.92,12.65,211.6,,,50672,1.51
PNB,Mar 2024,109065,,9157,14158,68534,260.0,55017,72371,4345,8.4,,3521.92,12.65,211.6,,,50672,1.51
POWERGRID,Mar 2024,45843,39826.0,15573,556,8773,9301.0,123516,250829,4163,33.97,86.87,167.43,6.21,13.28,29.99,4.6,119353,0.18
POWERGRID,Mar 2024,45843,39826.0,15573,556,8773,9301.0,123516,250829,4163,33.97,86.87,167.43,6.21,13.28,29.99,4.6,119353,0.18
RECLTD,Mar 2024,47517,47883.0,14145,48,29948,2633.0,445568,548191,5352,29.77,100.77,537.22,2.58,169.22,10.68,1.6,440216,0.09
RELIANCE,Mar 2024,899041,162498.0,79020,16179,23118,6766.0,458991,1755048,225672,8.79,18.07,1167.9,4.5,67.84,34.89,7.73,233319,0.51
SBILIFE,Mar 2024,131988,246.0,1894,1917,9,1001.0,0,398299,384943,1.43,0.19,189.21,0.48,0.0,24.58,240.33,-384943,0.33
SHREECEM,Mar 2024,20521,4518.0,1733,597,258,36.0,1656,27925,7556,8.45,22.02,4813.89,6.21,46.0,267.02,19.83,-5900,0.73
SHRIRAMFIN,Mar 2024,36388,10523.0,7399,25,15588,376.0,195496,248266,9472,20.33,28.92,1967.82,2.98,519.94,5.37,0.68,186024,0.15
SUNPHARMA,Mar 2024,48497,13018.0,9610,865,238,240.0,3274,85308,15026,19.82,26.84,4004.17,11.27,13.64,370.46,58.33,-11752,0.57
TATACONSUM,Mar 2024,15206,2284.0,1215,-81,87,95.0,3477,27879,871,7.99,15.02,1278.95,4.36,36.6,63.94,25.32,2606,0.55
TATAMOTORS,Mar 2024,437928,59538.0,31807,5673,9986,766.0,107262,369521,22971,7.26,13.6,4152.35,8.61,140.03,55.11,6.53,84291,1.19
TATAPOWER,Mar 2024,61449,10735.0,4280,3416,4633,320.0,53689,139054,16316,6.97,17.47,1337.5,3.08,167.78,19.88,3.05,37373,0.44
TATASTEEL,Mar 2024,229171,22248.0,-4910,-6005,7508,1247.0,87082,269312,6258,-2.14,9.71,-393.74,-1.82,69.83,25.19,2.16,80824,0.85
TCS,Mar 2024,240893,64296.0,46099,3464,778,362.0,8021,145472,31762,19.14,26.69,12734.53,31.69,22.16,766.98,87.1,-23741,1.66
TECHM,Mar 2024,51996,4506.0,2397,927,392,441.0,2537,43149,3238,4.61,8.67,543.54,5.56,5.75,151.31,13.86,-701,1.21
TECHM,Mar 2024,51996,4506.0,2397,927,392,441.0,2537,43149,3238,4.61,8.67,543.54,5.56,5.75,151.31,13.86,-701,1.21
TITAN,Mar 2024,51084,5292.0,3496,534,619,89.0,15528,31547,2345,6.84,10.36,3928.09,11.08,174.47,33.89,9.41,13183,1.62
TORNTPHARM,Mar 2024,10728,3368.0,1656,146,354,169.0,4022,14505,173,15.44,31.39,979.88,11.42,23.8,80.36,9.93,3849,0.74
TRENT,Mar 2024,12375,1971.0,1477,989,368,36.0,1753,7162,1416,11.94,15.93,4102.78,20.62,48.69,110.17,8.04,337,1.73
TVSMOTOR,Mar 2024,39145,5500.0,1779,106,1928,48.0,26006,42024,1123,4.54,14.05,3706.25,4.23,541.79,21.11,2.91,24883,0.93
ULTRACEMCO,Mar 2024,70908,12969.0,7004,567,968,289.0,11403,100797,8249,9.88,18.29,2423.53,6.95,39.46,110.92,13.98,3154,0.7
UNIONBANK,Mar 2024,100376,4590.0,13797,17813,63364,7634.0,1251568,1401996,343953,13.75,4.57,180.73,0.98,163.95,0.36,0.35,907615,0.07
SIEMENS,Sep 2011,11955,1171.0,868,299,26,68.0,0,10158,0,7.26,9.8,1276.47,8.54,0.0,1722.06,56.54,0,1.18
SIEMENS,Sep 2014,10678,119.0,603,985,31,71.0,0,10290,8,5.65,1.11,849.3,5.86,0.0,167.61,35.61,-8,1.04
SIEMENS,Sep 2015,10563,998.0,1174,943,30,71.0,25,10576,114,11.11,9.45,1653.52,11.1,0.35,1039.58,64.7,-89,1.0
SIEMENS,Sep 2016,10837,1021.0,2914,3156,11,71.0,25,11986,110,26.89,9.42,4104.23,24.31,0.35,1063.54,379.73,-85,0.9
SIEMENS,Sep 2017,11065,1056.0,1137,818,8,71.0,0,13138,0,10.28,9.54,1601.41,8.65,0.0,1487.32,234.25,0,0.84
SIEMENS,Sep 2018,12795,1327.0,901,280,8,71.0,0,14336,0,7.04,10.37,1269.01,6.28,0.0,1869.01,200.88,0,0.89
SIEMENS,Sep 2019,13084,1490.0,1099,398,12,71.0,0,15358,0,8.4,11.39,1547.89,7.16,0.0,2098.59,157.33,0,0.85
SIEMENS,Sep 2020,9946,1003.0,769,315,30,71.0,0,15860,0,7.73,10.08,1083.1,4.85,0.0,1412.68,43.93,0,0.63
SIEMENS,Sep 2021,13198,1452.0,1089,321,24,71.0,4,18015,3,8.25,11.0,1533.8,6.04,0.06,1936.0,73.88,1,0.73
SIEMENS,Sep 2022,16138,1860.0,1543,487,36,71.0,182,20109,1,9.56,11.53,2173.24,7.67,2.56,735.18,65.19,181,0.8
SIEMENS,Sep 2023,19554,2487.0,1962,496,23,71.0,175,21646,1,10.03,12.72,2763.38,9.06,2.46,1010.98,129.7,174,0.9
SIEMENS,Sep 2024,22240,3104.0,2718,925,60,71.0,279,25299,1,12.22,13.96,3828.17,10.74,3.93,886.86,67.15,278,0.88
