company_id,year,sales,operating_profit,net_profit,other_income,interest,equity,borrowings,total_assets,investments,net_profit_margin,operating_profit_margin,roe_percentage,roa_percentage,debt_to_equity,roce_percentage,interest_coverage_ratio,net_debt,asset_turnover
NHPC,Mar 2023,10607,6184.0,4261,743,475,10045.0,29540,86211,499,40.17,58.3,42.42,4.94,2.94,15.62,14.58,29041,0.12
NTPC,Mar 2023,176207,47596.0,17121,2561,11447,9697.0,222913,447189,13935,9.72,27.01,176.56,3.83,22.99,20.46,4.38,208978,0.39
ONGC,Mar 2023,632291,75527.0,32778,-30,7889,6290.0,142255,613115,78873,5.18,11.94,521.11,5.35,22.62,50.84,9.57,63382,1.03
PFC,Mar 2023,77684,26501.0,21179,47,47017,2640.0,751158,896112,5973,27.26,34.11,802.23,2.36,284.53,3.52,0.56,745185,0.09
PIDILITIND,Mar 2023,11799,1986.0,1289,55,48,51.0,391,10505,881,10.92,16.83,2527.45,12.27,7.67,449.32,42.52,-490,1.12
PNB,Mar 2023,86845,,3359,12529,51817,169.0,53621,66805,3188,3.87,,1987.57,5.03,317.28,,,50433,1.3
PNB,Mar 2023,86845,,3359,12529,51817,169.0,53621,66805,3188,3.87,,1987.57,5.03,317.28,,,50433,1.3
PNB,Mar 2023,86845,,3359,12529,51817,169.0,53621,66805,3188,3.87,,1987.57,5.03,317.28,,,50433,1.3
PNB,Mar 2023,86845,,3359,12529,51817,169.0,53621,66805,3188,3.87,,1987.57,5.03,317.28,,,50433,1.3
PNB,Mar 2023,86845,,3359,12529,51817,169.0,53621,66805,3188,3.87,,1987.57,5.03,317.28,,,50433,1.3
POWERGRID,Mar 2023,45603,39576.0,15420,1093,9634,6975.0,128584,252225,3489,33.81,86.78,221.08,6.11,18.43,29.19,4.22,125095,0.18
POWERGRID,Mar 2023,45603,39576.0,15420,1093,9634,6975.0,128584,252225,3489,33.81,86.78,221.08,6.11,18.43,29.19,4.22,125095,0.18
RECLTD,Mar 2023,39486,37628.0,11167,28,23733,2633.0,380790,465503,3170,28.28,95.29,424.12,2.4,144.62,9.81,1.59,377620,0.08
RELIANCE,Mar 2023,876396,142318.0,74088,12020,19571,6766.0,451664,1605882,235560,8.45,16.24,1095.0,4.61,66.75,31.04,7.89,216104,0.55
